"id","year","population","population_man","population_woman"
0,1995,125570,61574,63996
0,1996,125864,61687,64177
0,1997,126166,61805,64361
0,1998,126486,61919,64568
0,1999,126686,61972,64714
0,2000,126926,62111,64815
0,2001,127291,62244,65047
0,2002,127435,62252,65183
0,2003,127619,62304,65315
0,2004,127687,62295,65392
0,2005,127768,62349,65419
0,2006,127770,62330,65440
0,2007,127771,62310,65461
0,2008,127692,62251,65441
0,2009,127510,62130,65380
0,2010,128057,62328,65730
0,2011,127799,62184,65615
0,2012,127515,62029,65486
0,2013,127298,61909,65388
0,2014,127083,61801,65282
0,2015,127095,61842,65253
0,2016,126933,61766,65167
0,2017,126706,61655,65051
0,2018,126443,61532,64911
0,2019,126167,61411,64756
0,2020,126146,61350,64797
0,2021,125502,61019,64483
0,2022,124947,60758,64189
0,2023,124352,60492,63859
1000,1995,5692,2737,2955
1000,1996,5699,2738,2960
1000,1997,5702,2738,2964
1000,1998,5700,2733,2967
1000,1999,5695,2727,2967
1000,2000,5683,2719,2964
1000,2001,5679,2714,2965
1000,2002,5670,2707,2962
1000,2003,5659,2700,2959
1000,2004,5644,2689,2955
1000,2005,5628,2675,2953
1000,2006,5601,2657,2943
1000,2007,5570,2638,2933
1000,2008,5535,2616,2920
1000,2009,5507,2599,2908
1000,2010,5506,2603,2903
1000,2011,5486,2591,2895
1000,2012,5460,2576,2884
1000,2013,5431,2561,2870
1000,2014,5400,2545,2855
1000,2015,5382,2537,2845
1000,2016,5352,2521,2830
1000,2017,5320,2506,2814
1000,2018,5286,2489,2797
1000,2019,5250,2472,2778
1000,2020,5225,2465,2760
1000,2021,5183,2446,2737
1000,2022,5140,2427,2714
1000,2023,5092,2405,2688
2000,1995,1482,704,777
2000,1996,1483,705,778
2000,1997,1480,703,777
2000,1998,1478,701,777
2000,1999,1475,700,776
2000,2000,1476,703,773
2000,2001,1474,701,773
2000,2002,1469,698,770
2000,2003,1462,694,767
2000,2004,1452,689,764
2000,2005,1437,679,758
2000,2006,1423,671,751
2000,2007,1407,663,744
2000,2008,1392,654,738
2000,2009,1379,648,731
2000,2010,1373,646,727
2000,2011,1363,641,722
2000,2012,1350,634,715
2000,2013,1335,627,708
2000,2014,1321,620,701
2000,2015,1308,615,694
2000,2016,1293,608,686
2000,2017,1278,600,678
2000,2018,1263,593,670
2000,2019,1246,585,661
2000,2020,1238,583,655
2000,2021,1221,575,646
2000,2022,1204,568,636
2000,2023,1184,559,626
3000,1995,1420,682,738
3000,1996,1420,682,738
3000,1997,1418,681,737
3000,1998,1416,680,737
3000,1999,1414,678,736
3000,2000,1416,681,735
3000,2001,1413,680,734
3000,2002,1407,676,732
3000,2003,1402,672,729
3000,2004,1395,669,726
3000,2005,1385,664,721
3000,2006,1375,658,717
3000,2007,1364,652,712
3000,2008,1352,645,707
3000,2009,1340,639,701
3000,2010,1330,635,695
3000,2011,1314,627,687
3000,2012,1303,623,680
3000,2013,1295,619,676
3000,2014,1284,614,670
3000,2015,1280,616,664
3000,2016,1268,610,658
3000,2017,1255,604,651
3000,2018,1241,598,643
3000,2019,1227,592,635
3000,2020,1211,583,628
3000,2021,1196,577,620
3000,2022,1181,570,611
3000,2023,1163,562,602
4000,1995,2329,1145,1184
4000,1996,2338,1148,1190
4000,1997,2348,1152,1196
4000,1998,2355,1154,1201
4000,1999,2360,1156,1205
4000,2000,2365,1159,1207
4000,2001,2371,1160,1211
4000,2002,2371,1158,1213
4000,2003,2373,1158,1215
4000,2004,2371,1156,1216
4000,2005,2360,1149,1211
4000,2006,2355,1145,1210
4000,2007,2347,1140,1208
4000,2008,2340,1135,1205
4000,2009,2336,1132,1204
4000,2010,2348,1140,1209
4000,2011,2327,1130,1197
4000,2012,2325,1131,1194
4000,2013,2328,1133,1194
4000,2014,2328,1134,1194
4000,2015,2334,1140,1194
4000,2016,2330,1139,1191
4000,2017,2323,1136,1188
4000,2018,2316,1132,1184
4000,2019,2306,1127,1179
4000,2020,2302,1123,1179
4000,2021,2290,1117,1174
4000,2022,2280,1112,1168
4000,2023,2264,1105,1160
5000,1995,1214,578,636
5000,1996,1210,576,634
5000,1997,1206,573,632
5000,1998,1201,570,631
5000,1999,1196,568,629
5000,2000,1189,565,625
5000,2001,1184,562,622
5000,2002,1176,557,619
5000,2003,1167,552,615
5000,2004,1159,548,611
5000,2005,1146,541,605
5000,2006,1134,534,599
5000,2007,1121,527,593
5000,2008,1108,521,587
5000,2009,1096,514,581
5000,2010,1086,510,576
5000,2011,1075,505,570
5000,2012,1063,498,564
5000,2013,1050,493,558
5000,2014,1037,486,551
5000,2015,1023,480,543
5000,2016,1010,474,536
5000,2017,996,468,528
5000,2018,981,461,520
5000,2019,966,454,512
5000,2020,960,452,507
5000,2021,945,446,499
5000,2022,930,439,491
5000,2023,914,432,482
6000,1995,1257,607,650
6000,1996,1256,607,649
6000,1997,1255,606,649
6000,1998,1253,606,647
6000,1999,1250,604,646
6000,2000,1244,601,643
6000,2001,1241,599,642
6000,2002,1235,596,639
6000,2003,1230,593,637
6000,2004,1223,589,634
6000,2005,1216,585,631
6000,2006,1208,580,627
6000,2007,1198,575,623
6000,2008,1188,570,618
6000,2009,1179,565,613
6000,2010,1169,561,608
6000,2011,1161,557,604
6000,2012,1152,553,599
6000,2013,1141,548,593
6000,2014,1131,543,588
6000,2015,1124,540,584
6000,2016,1113,536,578
6000,2017,1102,531,571
6000,2018,1090,526,565
6000,2019,1078,520,558
6000,2020,1068,516,552
6000,2021,1055,511,544
6000,2022,1041,505,536
6000,2023,1026,498,528
7000,1995,2134,1042,1092
7000,1996,2136,1043,1093
7000,1997,2137,1044,1093
7000,1998,2137,1044,1093
7000,1999,2135,1043,1093
7000,2000,2127,1038,1089
7000,2001,2125,1037,1088
7000,2002,2120,1033,1086
7000,2003,2113,1030,1084
7000,2004,2106,1025,1081
7000,2005,2091,1017,1075
7000,2006,2080,1011,1069
7000,2007,2067,1004,1063
7000,2008,2052,996,1056
7000,2009,2040,989,1051
7000,2010,2029,985,1044
7000,2011,1990,967,1023
7000,2012,1962,954,1007
7000,2013,1946,948,999
7000,2014,1935,944,991
7000,2015,1914,946,968
7000,2016,1901,941,960
7000,2017,1882,932,951
7000,2018,1864,923,941
7000,2019,1846,914,931
7000,2020,1833,904,929
7000,2021,1812,894,918
7000,2022,1790,884,906
7000,2023,1767,873,894
8000,1995,2956,1476,1479
8000,1996,2972,1484,1488
8000,1997,2983,1489,1494
8000,1998,2996,1495,1501
8000,1999,3002,1498,1505
8000,2000,2986,1488,1497
8000,2001,2992,1491,1501
8000,2002,2990,1488,1502
8000,2003,2991,1488,1503
8000,2004,2989,1486,1503
8000,2005,2975,1480,1495
8000,2006,2972,1479,1493
8000,2007,2969,1477,1492
8000,2008,2964,1475,1489
8000,2009,2960,1473,1488
8000,2010,2970,1480,1490
8000,2011,2958,1474,1483
8000,2012,2943,1467,1476
8000,2013,2931,1461,1470
8000,2014,2919,1455,1464
8000,2015,2917,1454,1463
8000,2016,2905,1448,1457
8000,2017,2892,1442,1450
8000,2018,2877,1435,1442
8000,2019,2860,1427,1433
8000,2020,2867,1431,1436
8000,2021,2852,1423,1428
8000,2022,2840,1418,1422
8000,2023,2825,1412,1412
9000,1995,1984,987,997
9000,1996,1993,991,1001
9000,1997,2001,995,1006
9000,1998,2008,998,1009
9000,1999,2012,1001,1011
9000,2000,2005,996,1009
9000,2001,2010,998,1012
9000,2002,2010,998,1012
9000,2003,2011,998,1013
9000,2004,2013,998,1014
9000,2005,2017,1002,1015
9000,2006,2015,1001,1014
9000,2007,2014,1001,1013
9000,2008,2011,1000,1011
9000,2009,2006,997,1009
9000,2010,2008,997,1011
9000,2011,2000,994,1006
9000,2012,1992,989,1002
9000,2013,1986,986,999
9000,2014,1980,984,996
9000,2015,1974,982,993
9000,2016,1966,978,988
9000,2017,1957,974,983
9000,2018,1946,969,977
9000,2019,1934,964,970
9000,2020,1933,965,968
9000,2021,1921,958,963
9000,2022,1909,952,956
9000,2023,1897,948,950
10000,1995,2004,990,1014
10000,1996,2011,993,1018
10000,1997,2018,996,1021
10000,1998,2025,1000,1025
10000,1999,2030,1002,1027
10000,2000,2025,999,1026
10000,2001,2031,1002,1029
10000,2002,2032,1002,1031
10000,2003,2034,1002,1032
